category	name	action	resource	scope	accessType	isActive
{"ja":"在庫管理"}	{"ja":"在庫仕入完了(全て)"}	complete	stock.purchase	all	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入完了(ゾーン)"}	complete	stock.purchase	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫閲覧(自分の)"}	read	stock	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫閲覧(チーム)"}	read	stock	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫閲覧(全て)"}	read	stock	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫閲覧(ゾーン)"}	read	stock	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約作成"}	create	stock.reservation	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約作成"}	create	stock.reservation	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約作成"}	create	stock.reservation	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約作成(ゾーン)"}	create	stock.reservation	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約更新(自分の)"}	update	stock.reservation	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約更新(チーム)"}	update	stock.reservation	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約更新(全て)"}	update	stock.reservation	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約更新(ゾーン)"}	update	stock.reservation	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約閲覧(自分の)"}	read	stock.reservation	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約閲覧(チーム)"}	read	stock.reservation	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約閲覧(全て)"}	read	stock.reservation	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約閲覧(ゾーン)"}	read	stock.reservation	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約ロック"}	lock	stock.reservation	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約ロック"}	lock	stock.reservation	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約ロック"}	lock	stock.reservation	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約ロック(ゾーン)"}	lock	stock.reservation	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約完了"}	complete	stock.reservation	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約完了"}	complete	stock.reservation	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約完了"}	complete	stock.reservation	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約完了(ゾーン)"}	complete	stock.reservation	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約取消"}	cancel	stock.reservation	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約取消"}	cancel	stock.reservation	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約取消"}	cancel	stock.reservation	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫予約取消(ゾーン)"}	cancel	stock.reservation	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫取引作成"}	create	stock.transaction	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫取引作成"}	create	stock.transaction	team	BOTH	TRUE
